




##########################################################################################
#CLERIC SPELL ACCESS FOR RAINBOW Servant##################################################
##########################################################################################
Arcane Cleric Spell 3 (Affliction)	KEY:Arcane Cleric Spell ~ Affliction	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level3	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=3|Affliction	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=3
Arcane Cleric Spell 2 (Hand of Divinity)	KEY:Arcane Cleric Spell ~ Hand of Divinity	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level2	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=2|Hand of Divinity	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=2
Arcane Cleric Spell 7 (Righteous Burst)	KEY:Arcane Cleric Spell ~ Righteous Burst	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level7	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=7|Righteous Burst	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=7
Arcane Cleric Spell 0 (Amanuensis)	KEY:Arcane Cleric Spell ~ Amanuensis	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Amanuensis	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Create Water)	KEY:Arcane Cleric Spell ~ Create Water	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Create Water	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Cure Minor Wounds)	KEY:Arcane Cleric Spell ~ Cure Minor Wounds	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Cure Minor Wounds	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Despoil)	KEY:Arcane Cleric Spell ~ Despoil	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Despoil	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Detect Ghost)	KEY:Arcane Cleric Spell ~ Detect Ghost	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Detect Ghost	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Detect Magic)	KEY:Arcane Cleric Spell ~ Detect Magic	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Detect Magic	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Detect Poison)	KEY:Arcane Cleric Spell ~ Detect Poison	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Detect Poison	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Disrupt Ectoplasm)	KEY:Arcane Cleric Spell ~ Disrupt Ectoplasm	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Disrupt Ectoplasm	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Guidance)	KEY:Arcane Cleric Spell ~ Guidance	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Guidance	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Inflict Minor Wounds)	KEY:Arcane Cleric Spell ~ Inflict Minor Wounds	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Inflict Minor Wounds	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Light)	KEY:Arcane Cleric Spell ~ Light	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Light	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Mending)	KEY:Arcane Cleric Spell ~ Mending	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Mending	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (No Light)	KEY:Arcane Cleric Spell ~ No Light	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|No Light	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Preserve Organ)	KEY:Arcane Cleric Spell ~ Preserve Organ	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Preserve Organ	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Purify Food and Drink)	KEY:Arcane Cleric Spell ~ Purify Food and Drink	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Purify Food and Drink	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
